City,1901,1906,1911,1916,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sydney,496990,559800,656800,764600,885000,912750,934540,952620,974540,996100,1019860,1044770,1066400,1176900,1190590,1200830,1213880,1237130,1241900,1245590,1251150,1256500,1263220,1274930,1294080,1331290,1363010,1402790,1433000,1456350,1475150,1489620,1503740,1530060,1557220,1574880,1579790,1576480,1863161,1906340,1949400,1996010,2043200,2085790,2132680,2303807,2353280,2397620,2441570,2491320,2542207,2583650,2630690,2690580,2751830,3015900,3053900,3079600,3108500,3129000,3143800,3168100,3197700,3226800,3257500,3279539,3319302,3351105,3385017,3424594,3471489,3526166,3587999,3621273,3642763,3672914,3708310,3728426,3758844,3802786,3856646,3905123,3945098,3991974,4041730,4102580,4135637,4162593,4184763,4217563,4256161,4325525,4409562,4492380,4555516,4608949,4677196,4757364,4841349,4930189,5024923
Melbourne,501580,530660,600160,695640,763000,800520,831060,861760,889720,917080,945500,971000,990650,1006000,999650,995600,993800,995800,1000000,1008300,1016500,1024300,1035600,1050700,1083000,1114900,1143900,1156600,1168900,1180200,1189800,1228300,1247800,1272300,1302200,1330800,1359100,1388800,1524111,1575300,1629400,1677100,1726100,1777700,1831100,1984936,2029240,2077560,2130980,2180800,2230793,2283000,2331000,2389700,2447600,2606900,2651600,2686400,2722400,2746200,2764100,2782600,2800700,2816300,2835500,2857907,2887744,2916524,2942787,2970627,2996733,3035229,3075917,3121026,3163590,3194707,3217776,3231603,3243516,3268881,3304912,3336088,3368966,3407286,3450077,3500249,3545579,3594031,3641951,3697372,3760760,3841760,3931438,4031787,4105857,4169366,4265843,4370067,4476030,4586012,4714387
Brisbane,120650,132470,143510,168390,205980,217710,230200,235690,245020,253220,258620,264030,275780,284760,279950,283440,298140,301250,304930,306150,313430,318430,325890,330000,335520,344230,353590,370460,384040,393580,399530,404640,414500,429530,444650,453660,469000,488000,502320,515000,527500,543000,555000,567000,578000,692924,706679,721756,740306,759085,778193,793960,810410,829070,847220,957900,977800,1000700,1024900,1042100,1058100,1073700,1090100,1105900,1126100,1154705,1190830,1213607,1227454,1245078,1265114,1286535,1313047,1349743,1382453,1411773,1435614,1464508,1494739,1527888,1560296,1584086,1607386,1632209,1660663,1693556,1735730,1780650,1823496,1866210,1908265,1958907,2012204,2068479,2108348,2147436,2196288,2241944,2281740,2318653,2362672
Adelaide,162200,175640,199760,223720,255000,259590,267570,274520,283540,294710,305510,314330,316390,310920,310530,310460,311840,313000,314000,315000,317000,318000,321500,323000,330000,350000,355000,360000,365000,372000,380000,388000,399000,415500,433500,447500,464000,476000,483508,499100,517900,533600,547400,562300,576600,659316,673750,695700,720900,748350,771561,784450,795000,809650,826850,883900,894900,905500,915500,933200,940100,951300,960700,964800,970900,979895,989474,1001244,1013446,1024259,1034960,1043949,1054472,1067855,1080060,1093525,1100976,1103868,1108322,1111739,1116237,1122518,1129489,1136427,1142726,1148006,1154981,1162250,1168541,1177345,1189243,1204210,1219523,1237354,1253097,1264091,1277850,1289696,1302079,1313419,1324057
Perth,70700,95870,111400,124110,152000,155590,161770,173770,180790,183500,188260,195080,200520,206310,211640,215800,214880,209000,211000,214000,217000,220000,223000,227000,230000,234000,239000,245000,253000,260000,268000,276000,283000,296000,313000,322000,335000,345000,348647,360000,372000,382000,391000,401000,409000,475576,491300,509200,525800,540700,559298,583800,611800,642800,671900,744600,767200,782000,803700,826400,845700,866100,884500,899200,917000,941479,973542,998576,1017871,1041608,1075959,1106882,1139494,1178097,1207701,1226115,1247523,1266704,1289836,1316658,1343355,1366707,1388787,1411070,1432115,1455361,1474536,1496016,1520232,1544977,1576912,1628467,1682860,1739342,1781132,1833567,1892862,1943855,1973923,1998937,2019263
Hobart,36060,39230,40200,40260,50000,53870,54420,54980,55540,56100,56680,57250,57840,58430,59020,59620,60230,62150,62610,63620,64830,66490,67700,68580,69370,69390,69930,70970,72230,73790,75510,76534,78310,80580,83680,87190,90650,93280,95206,97428,99536,103944,105611,109756,111851,130236,132790,135320,137310,139400,141311,143390,145830,149090,151230,157100,158300,160100,162400,165200,166900,168300,169600,171000,172300,174120,175226,176477,178844,181228,182846,183837,184413,185982,189070,191648,193505,194906,195899,196758,197124,196892,196533,196618,196966,197403,197726,199788,201771,203288,204753,206649,209166,212085,214669,216273,217670,219315,221365,223502,225913
Darwin,,,1082,,,1399,,,,,,,,,,,,1566,,,,,,,,,,,,,,2538,,,,,,,8071,8600,8900,,,,,15477,,,17800,,21671,23400,26300,29300,32900,39000,43200,46900,51700,35300,47300,51000,54900,57200,59600,62078,67052,70807,74959,79114,82814,85014,84009,84588,85694,86414,87834,89570,91424,94429,97247,100518,102395,104345,106412,108280,108679,108433,109211,111388,113461,116935,121210,125315,127829,129106,133105,138471,141169,144914,147102
Canberra,,,,,,1150,1500,2000,2600,3500,4900,6150,6640,6880,7290,7050,7030,7325,7500,7700,8030,8410,9827,10800,12000,13300,12650,11650,12450,13250,14100,15156,18040,19640,22080,23140,24530,26710,28277,30710,33100,35827,39061,43973,50237,56449,63821,70775,77644,85690,93314,100938,109550,119235,129000,151169,159792,173306,186241,199007,207740,213688,217981,220797,224291,226821,232304,238261,244409,250705,258246,264801,271439,275728,281492,288586,294230,299114,302194,305838,309629,310533,311532,314171,317235,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104
Total,1388180,1533670,1752912,2016720,2310980,2402579,2481060,2555340,2631750,2704210,2779330,2852610,2914220,3050200,3058670,3072800,3099800,3127221,3141940,3160360,3187940,3212130,3246737,3285010,3353970,3457110,3537080,3617470,3688620,3749170,3802090,3880788,3944390,4043610,4156330,4239170,4322070,4394270,4853301,4992478,5137736,5271481,5407372,5547519,5689468,6318721,6450860,6607931,6792310,6945345,7138348,7296588,7460580,7659425,7858530,8556469,8706692,8834506,8975341,9076407,9173740,9274788,9376181,9461997,9563191,9676544,9835474,9966601,10084787,10217213,10368161,10532413,10710790,10884292,11032823,11165682,11285768,11378699,11484774,11624977,11785446,11922465,12050186,12194100,12347924,12526973,12677495,12831118,12978905,13149542,13344725,13625097,13934331,14261527,14508214,14736773,15037353,15343969,15626454,15911439,16221421
