cities,population,cases
Sydney,3576788,43104
Sydney (C) (LGA),43058,571
Penrith (C) (LGA),47150,816
Canterbury-Bankstown (A) (LGA),68312,2841
Central Coast,166961,1845
Bayside (A) (LGA),27819,256
Morisset - Cooranbong,33722,194
Newcastle - Maitland,721483,2941
Dungog (SA2),17041,77
Forster-Tuncurry Region (SA2),20697,141
Nelson Bay,54760,150
Lemon Tree Passage - Tanilba Bay (SA2),10297,54
Newcastle (C) (LGA),13005,53
Scone Region (SA2),11667,86
Singleton,1668,8
Muswellbrook,9583,25
Branxton - Greta - Pokolbin (SA2),21893,148
Quirindi (SA2),28369,136
Tamworth Region (SA2),3351,54
Armidale,3941,27
Walcha (SA2),1752,5
Coonabarabran (SA2),47930,694
Armidale Region - South (SA2),1423,9
Glen Innes (SA2),11923,35
Gunnedah Region (SA2),41290,170
Taree Region (SA2),43606,232
Bulahdelah - Stroud (SA2),25428,104
Forster - Tuncurry,23431,97
Taree,51786,322
Camden Haven,27385,117
Kempsey,7589,47
Kempsey Region (SA2),2132,1
Port Macquarie,16533,48
Macksville - Scotts Head (SA2),6092,18
Nambucca Heads (SA2),2564,2
Nambucca Heads Region (SA2),7915,6
Coffs Harbour,51541,116
Bellingen (SA2),4858,2
Armidale Regional (A) (LGA),25243,11
Grafton Region (SA2),11179,3
Maclean - Yamba - Iluka (SA2),22426,7
Casino (SA2),1144,4
Evans Head (SA2),4837,1
Kyogle (SA2),10457,16
Tenterfield (SA2),1174,3
Ballina Region (SA2),10593,3
Ballina,3939,3
Bangalow (SA2),1904,4
Lismore,5241,4
Byron Bay (SA2),3028,1
Mullumbimby (SA2),4782,17
Gold Coast - Tweed Heads,73182,166
Wollongong,236321,243
Kiama Hinterland - Gerringong (SA2),2523,3
Berry - Kangaroo Valley (SA2),7718,3
Batemans Bay,7619,2
Moruya - Tuross Head (SA2),295,2
Ulladulla,4078,6
Richmond Valley (A) (LGA),15154,15
Nowra - Bomaderry,3542,1
Deua - Wadbilliga (SA2),35012,35
Narooma - Bermagui (SA2),811,2
Bega-Eden Hinterland (SA2),12133,7
Douglas Park - Appin (SA2),47714,446
Picton - Tahmoor - Buxton (SA2),16389,151
Bargo (SA2),10808,23
Bowral - Mittagong,38468,281
Southern Highlands (SA2),16774,100
Goulburn,11429,56
Goulburn Region (SA2),38928,373
Yass (SA2),21017,184
Yass Region (SA2),25854,146
Young Region (SA2),46970,205
Canberra - Queanbeyan,12848,21
Queanbeyan Region (SA2),17693,42
Braidwood (SA2),11646,6
Jindabyne - Berridale (SA2),43395,192
Cooma Region (SA2),113415,122
Bombala (SA2),1057,1
Albury - Wodonga,23555,16
Tumbarumba (SA2),2479,26
Corowa Region (SA2),89103,1624
Wagga Wagga Region (SA2),11123,114
Wagga Wagga,299,1
Albury Region (SA2),34177,700
Junee (SA2),26332,439
Temora (SA2),39440,369
Griffith,1344,10
Narrandera (SA2),39875,484
Deniliquin (SA2),11688,63
Hay (SA2),4402,35
Tocumwal - Finley - Jerilderie (SA2),10689,80
Wentworth-Balranald Region (SA2),15325,55
Griffith Region (SA2),13373,20
Mildura - Wentworth,31930,66
Tumut Region (SA2),2671,2
Wingecarribee (A) (LGA),3945,4
Echuca - Moama,29426,96
Deniliquin Region (SA2),2066,4
Calga - Kulnura (SA2),4465,2
Blackheath - Megalong Valley (SA2),10104,18
Bilpin - Colo - St Albans (SA2),3475,1
Blue Mountains - South (SA2),2739,6
Lithgow,2726,5
Cowra Region (SA2),8042,4
Cowra (SA2),1092,4
Bathurst,1321,23
Blayney (SA2),7993,1
Orange,3234,1
Grenfell (SA2),1804,7
Wentworth (A) (LGA),3170,13
Narromine (SA2),90878,2758
Nyngan - Warren (SA2),1880,8
Gilgandra (SA2),16849,185
Coonamble (SA2),44888,542
Wollondilly (A) (LGA),4863,41
Walgett - Lightning Ridge (SA2),74164,1377
Cobar (SA2),8597,31
Far West (SA2),26355,485
Bourke - Brewarrina (SA2),36294,923
Lithgow Region (SA2),15971,367
Mudgee,22720,514
Forbes (SA2),30465,284
Orange Region (SA2),11847,59
Parkes Region (SA2),5859,16
Parkes,12743,41
Broken Hill,1491,3
Blue Mountains (C) (LGA),53299,134
Oberon (A) (LGA),4413,34
Lithgow (C) (LGA),19845,46
Cowra (A) (LGA),11349,60
Bathurst Regional (A) (LGA),42544,100
Blayney (A) (LGA),4066,11
Orange (C) (LGA),45237,76
Cabonne (A) (LGA),7367,8
Weddin (A) (LGA),3054,1
Dubbo Regional (A) (LGA),51795,990
Narromine (A) (LGA),6173,56
Warren (A) (LGA),4091,21
Bogan (A) (LGA),2403,1
Gilgandra (A) (LGA),3644,9
Coonamble (A) (LGA),3958,3
Walgett (A) (LGA),5947,86
Cobar (A) (LGA),4366,1
Central Darling (A) (LGA),976,150
Brewarrina (A) (LGA),1614,10
Bourke (A) (LGA),3141,158
Warrumbungle Shire (A) (LGA),1865,4
Mid-Western Regional (A) (LGA),22692,39
Parkes (A) (LGA),13369,15
Forbes (A) (LGA),9416,4
Broken Hill (C) (LGA),18659,130
