postalcodes,cases
2170,2863
2770,2560
2161,2284
2160,1824
2200,1797
2144,1701
2145,1646
2168,1582
2190,1503
2165,1324
2196,1311
2560,1286
2148,1272
2142,1207
2760,1103
2176,1079
2195,1031
2162,947
2199,942
2166,803
2830,769
2747,760
2761,717
2171,629
2164,618
2147,558
2750,542
2197,526
2163,523
2194,522
2767,514
2150,511
2198,499
2141,490
2759,485
2570,484
2210,469
2565,445
2566,439
2035,436
2765,416
2207,388
2500,385
2036,382
2192,379
2766,367
2017,365
2567,359
2177,357
2212,333
2135,327
2143,322
2146,320
2216,317
2179,303
2010,294
2117,293
2026,287
2768,281
2763,277
2250,271
2261,269
2211,261
2259,260
2217,256
2016,256
2564,255
2220,252
2502,252
2000,241
2155,241
2213,238
2153,237
2528,235
2557,235
2204,231
2325,225
2151,224
2031,224
2756,222
2209,221
2206,215
2518,212
2193,210
2205,208
2018,206
2762,206
2140,205
2020,202
2745,198
2011,186
2749,185
2527,184
2174,182
2541,181
2287,179
2820,177
2530,175
2034,174
2099,174
2620,169
2037,169
2112,168
2263,167
2753,166
2640,165
2115,162
2840,158
2127,153
2262,153
2320,153
2290,151
2836,150
2218,148
2529,146
2131,144
2208,143
2032,140
2219,139
2134,139
2526,138
2046,134
2040,134
2285,134
2506,134
2022,132
2077,131
2229,131
2880,130
2191,130
2322,128
2234,127
2167,126
2173,124
2114,123
2118,122
2257,120
2122,117
2223,116
2340,114
2558,114
2137,111
2116,109
2540,108
2230,106
2440,106
2221,105
2283,105
2323,104
2559,103
2113,102
2641,102
2232,102
2019,100
2795,100
2519,100
2133,99
2430,99
2324,97
2580,96
2021,96
2152,94
2042,93
2304,92
2138,92
2030,88
2203,87
2154,86
2009,85
2015,83
2832,82
2107,82
2299,79
2326,79
2066,78
2222,78
2264,77
2100,77
2800,76
2233,75
2280,74
2111,74
2095,73
2050,72
2228,72
2065,72
2088,71
2303,71
2321,70
2023,70
2300,69
2224,66
2049,65
2156,64
2571,63
2093,63
2033,61
2251,61
2505,60
2777,60
2044,60
2136,59
2794,59
2769,59
2008,59
2525,56
2178,56
2120,55
2128,55
2575,55
2517,54
2284,54
2306,54
2024,54
2291,53
2256,52
2821,52
2214,52
2132,52
2754,51
2076,51
2315,50
2574,50
2067,50
2627,49
2101,49
2327,47
2007,46
2226,45
2282,45
2130,45
2043,44
2305,44
2075,44
2096,44
2125,43
2041,43
2536,42
2048,42
2428,42
2029,41
2752,41
2774,41
2260,40
2074,39
2330,38
2047,38
2110,38
2097,38
2227,37
2121,37
2790,36
2060,36
2119,36
2025,35
2572,35
2850,34
2090,34
2158,34
2780,34
2787,34
2460,34
2103,33
2070,33
2289,33
2039,33
2577,33
2102,32
2582,32
2281,31
2106,31
2758,31
2333,30
2630,30
2038,30
2573,30
2027,30
2533,30
2087,30
2086,28
2444,27
2307,27
2079,27
2089,27
2175,26
2225,26
2556,26
2085,26
2126,26
2298,25
2480,25
2092,24
2318,24
2068,24
2450,24
2515,23
2717,23
2061,23
2028,23
2594,22
2650,22
2172,22
2619,21
2157,21
2831,20
2045,20
2576,20
2316,19
2265,19
2286,19
2478,19
2710,18
2334,18
2335,18
2642,18
2508,17
2776,17
2319,17
2773,16
2380,16
2317,16
2094,16
2071,16
2474,16
2069,16
2516,15
2062,15
2429,15
2818,15
2470,15
2073,15
2779,15
2258,14
2546,14
2278,13
2456,13
2063,13
2481,13
2104,12
2072,12
2159,12
2350,11
2064,11
2870,11
2799,11
2427,11
2539,11
2535,11
2568,10
2431,10
2534,10
2569,10
2486,10
2738,10
2082,9
2548,9
2108,9
2312,9
2822,9
2827,9
2297,8
2782,8
2913,8
2778,8
2748,8
2617,8
2621,8
2296,8
2838,8
2267,7
2914,7
2477,7
2441,7
2625,7
2483,7
2439,7
2302,7
2081,7
2732,7
2231,7
2550,7
2293,6
2425,6
2469,6
2080,6
2600,6
2783,6
2446,6
2845,6
2537,6
2445,6
2294,6
2295,6
2612,6
2337,6
2713,6
2105,6
2360,5
2646,5
2714,5
2487,5
2084,5
2308,5
2292,5
2581,4
2421,4
2847,4
2443,4
2579,4
2647,4
2479,4
2869,4
2482,4
2680,4
2422,4
2488,4
2371,4
2866,4
2871,4
2716,4
2615,3
2833,3
2462,3
2381,3
2739,3
2775,3
2842,3
2715,3
2852,3
2906,3
2485,3
2606,3
2420,3
2400,3
2607,3
2626,3
2643,3
2463,3
2448,3
2484,3
2865,2
2849,2
2464,2
2452,2
2370,2
2586,2
2828,2
2839,2
2447,2
2628,2
2465,2
2578,2
2785,2
2083,2
2476,2
2343,2
2912,2
2665,2
2604,2
2652,2
2336,2
2904,2
2587,2
2602,2
2902,2
2622,1
2311,1
2631,1
2810,1
2329,1
2644,1
2091,1
2345,1
2786,1
2341,1
2590,1
2545,1
2757,1
2357,1
2473,1
2490,1
2835,1
2645,1
2834,1
2928,1
2804,1
2454,1
2660,1
2354,1
2314,1
2601,1
2900,1
2829,1
2899,1
2905,1
2911,1
2666,1
2663,1
2720,1
2423,1
2722,1
2825,1
2358,1
2864,1
2583,1
2700,1
2711,1
2563,1
2372,1
2449,1
2793,1
2843,1
2824,1
2731,1
2658,1
